City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,-6.15,79,20,3.6,CA,1683514219
1,udachny,66.4167,112.4,-3.08,35,24,3.29,RU,1683514220
2,kingston,17.997,-76.7936,26.53,89,20,1.54,JM,1683513965
3,papatowai,-46.5619,169.4708,12.57,78,100,1.65,NZ,1683514220
4,altar,30.7,-111.8167,23.94,20,0,4.16,MX,1683514221
5,bethel,41.3712,-73.414,17.05,75,100,4.63,US,1683513986
6,utrik,11.2278,169.8474,27.0,83,75,8.48,MH,1683514221
7,immokalee,26.4187,-81.4173,24.97,81,0,4.62,US,1683514221
8,kerikeri,-35.2268,173.9474,19.95,92,100,2.24,NZ,1683514222
9,port-aux-francais,-49.35,70.2167,4.14,64,99,8.39,TF,1683514222
10,west island,-12.1568,96.8225,29.99,84,75,2.06,CC,1683514222
11,afaahiti,-17.75,-149.2833,28.93,79,100,4.09,PF,1683514223
12,georgetown,5.4112,100.3354,31.96,79,20,2.06,MY,1683514164
13,blackmans bay,-43.0167,147.3167,12.51,74,97,3.91,AU,1683514223
14,sebastopol,44.6,33.5333,11.11,67,95,0.89,UA,1683514224
15,edinburgh of the seven seas,-37.0676,-12.3116,14.25,64,63,1.95,SH,1683514224
16,adamstown,-25.066,-130.1015,21.67,59,100,10.11,PN,1683514224
17,port elizabeth,-33.918,25.5701,17.16,88,75,2.06,ZA,1683514225
18,grytviken,-54.2811,-36.5092,1.57,98,95,4.03,GS,1683514225
19,kodiak,57.79,-152.4072,5.73,75,100,2.57,US,1683514225
20,tiksi,71.6872,128.8694,-10.79,78,71,6.19,RU,1683514226
21,usogorsk,63.4106,48.6872,-2.08,67,16,3.62,RU,1683514226
22,sinop,41.7711,34.8709,9.78,98,100,1.7,TR,1683514226
23,lata,40.1629,-8.3327,12.73,86,74,1.05,PT,1683514226
24,yellowknife,62.456,-114.3525,18.29,29,0,4.63,CA,1683514021
25,hermanus,-34.4187,19.2345,12.11,79,5,1.91,ZA,1683514227
26,bredasdorp,-34.5322,20.0403,12.0,92,22,1.61,ZA,1683514228
27,praia da vitoria,38.7333,-27.0667,19.14,94,75,7.25,PT,1683514228
28,brokopondo,4.75,-55.1667,23.4,92,100,4.21,SR,1683514228
29,waitangi,-43.9535,-176.5597,16.01,87,100,3.13,NZ,1683514228
30,kavaratti,10.5669,72.642,28.71,71,60,4.58,IN,1683514229
31,omurtag,43.1,26.4167,6.81,80,92,1.99,BG,1683514230
32,tinajo,29.0788,-13.7081,18.49,72,0,9.26,ES,1683514230
33,puerto ayora,-0.7393,-90.3518,26.42,96,62,1.79,EC,1683514231
34,polyarnyy,69.1989,33.4478,1.36,88,100,7.54,RU,1683514231
35,ancud,-41.8697,-73.8203,6.95,90,8,1.67,CL,1683514119
36,sitka,57.0531,-135.33,8.94,61,75,4.12,US,1683514232
37,hamilton,39.1834,-84.5333,19.03,88,0,2.06,US,1683513949
38,puerto aysen,-45.4,-72.7,3.45,96,54,1.52,CL,1683514093
39,pangody,65.85,74.4859,1.22,99,100,8.49,RU,1683514233
40,sisimiut,66.9395,-53.6735,-1.06,86,80,5.04,GL,1683514233
41,bilibino,68.0546,166.4372,-1.95,75,19,1.19,RU,1683514234
42,ribeira grande,38.5167,-28.7,17.65,98,100,4.02,PT,1683514234
43,sinabang,2.4803,96.3801,26.73,84,100,6.23,ID,1683514234
44,margaret river,-33.95,115.0667,20.19,43,100,7.66,AU,1683513992
45,novaya igirma,57.1334,103.9112,14.39,49,55,3.56,RU,1683514235
46,puerto natales,-51.7236,-72.4875,4.93,87,93,1.47,CL,1683514091
47,richards bay,-28.783,32.0377,19.41,91,97,2.13,ZA,1683514235
48,albany,42.6001,-73.9662,14.4,83,100,1.56,US,1683514236
49,kone,-21.0595,164.8658,25.97,66,100,2.82,NC,1683514236
50,naze,28.3667,129.4833,20.51,71,97,8.16,JP,1683514236
51,peniche,39.3558,-9.3811,16.17,90,98,5.85,PT,1683514236
52,acarigua,9.5545,-69.1956,27.73,58,89,1.24,VE,1683513748
53,homer,59.6425,-151.5483,5.98,84,100,5.36,US,1683514237
54,balabac,7.9868,117.0645,29.75,65,100,2.57,PH,1683514237
55,ushuaia,-54.8,-68.3,7.81,71,20,1.54,AR,1683514238
56,parsabad,39.6482,47.9174,14.37,83,23,3.27,IR,1683514033
57,longyearbyen,78.2186,15.6401,-2.09,86,75,2.57,SJ,1683514238
58,'alaqahdari dishu,30.4374,63.313,24.09,15,0,4.76,AF,1683514238
59,port mathurin,-19.6833,63.4167,25.84,71,30,11.3,MU,1683514239
60,hawaiian paradise park,19.5933,-154.9731,25.73,77,40,2.06,US,1683514239
61,puerto baquerizo moreno,-0.9,-89.6,26.28,87,92,4.61,EC,1683514239
62,howard springs,-12.497,131.047,31.01,44,40,5.85,AU,1683514240
63,jamestown,42.097,-79.2353,16.12,87,100,3.09,US,1683514101
64,carnarvon,-24.8667,113.6333,28.07,33,0,5.97,AU,1683514240
65,solin,43.55,16.5,17.69,72,0,2.57,HR,1683514240
66,bandarbeyla,9.4942,50.8122,27.67,79,100,2.79,SO,1683514241
67,lethem,3.3803,-59.7968,26.43,77,100,5.73,GY,1683514241
68,wailua homesteads,22.0669,-159.378,27.24,68,20,7.72,US,1683514242
69,badger,64.8,-147.5333,11.95,35,75,3.09,US,1683514242
70,talnakh,69.4865,88.3972,-7.66,75,87,2.76,RU,1683514243
71,vilyuchinsk,52.9306,158.4028,9.15,74,44,2.47,RU,1683514243
72,karratha,-20.7377,116.8463,29.43,30,19,10.8,AU,1683514243
73,nova sintra,14.8667,-24.7167,19.9,79,0,6.07,CV,1683514244
74,santa ana,33.7456,-117.8678,19.58,70,20,4.12,US,1683514128
75,el granada,37.5027,-122.4694,15.24,77,0,7.2,US,1683514244
76,gannan,47.9147,123.5031,15.15,17,2,10.31,CN,1683514245
77,invercargill,-46.4,168.35,14.89,80,100,1.23,NZ,1683514245
78,zavodskoy,43.4597,132.2922,19.77,34,0,2.0,RU,1683514245
79,toliara,-23.35,43.6667,21.89,69,0,2.05,MG,1683514245
80,tolanaro,-25.0319,46.9987,22.04,88,0,3.09,MG,1683514246
81,as saffaniyah,27.9708,48.73,26.9,51,59,4.17,SA,1683514246
82,mejit,10.2753,170.8646,27.47,82,60,7.85,MH,1683514246
83,labytnangi,66.6572,66.4183,-5.38,94,100,6.62,RU,1683514247
84,coyhaique,-45.5752,-72.0662,2.34,97,23,2.1,CL,1683514115
85,port alfred,-33.5906,26.891,18.67,71,100,4.76,ZA,1683514247
86,olonkinbyen,70.9221,-8.7187,1.41,100,100,3.9,SJ,1683514247
87,gargalianoi,37.0667,21.6333,14.64,66,2,3.27,GR,1683514248
88,el bauga,18.262,33.9081,25.87,18,5,5.83,SD,1683514248
89,malango,-2.9627,119.9001,27.46,65,93,1.09,ID,1683514248
90,puerto deseado,-47.7503,-65.8938,8.25,73,0,5.62,AR,1683514248
91,kralendijk,12.15,-68.2667,26.99,78,75,8.23,BQ,1683513517
92,kailua-kona,19.6406,-155.9956,28.98,70,75,5.66,US,1683514118
93,sur,22.5667,59.5289,29.69,50,0,3.21,OM,1683514249
94,buala,-8.145,159.5921,29.52,73,59,1.46,SB,1683514249
95,greenville,35.6127,-77.3663,22.09,73,40,4.12,US,1683514250
96,axim,4.8699,-2.2405,26.38,81,99,1.3,GH,1683514250
97,keelung,25.1283,121.7419,20.94,92,100,1.6,TW,1683514250
98,susuman,62.7833,148.1667,4.67,60,32,2.9,RU,1683514251
99,qaqortoq,60.7167,-46.0333,1.09,83,100,1.04,GL,1683514251
